s2;d2;s3;d3;s4;d4;s5;d5;s6;d6;s7;d7;s8;d8;s9;d9;s10;d10;s11;d11;s12;d12;s13;d13;s14;d14;p23;p24;lkomp;p25b;p26;p27;p3;ocenaoss;p5;p6;p7;p8;s1;d1;zoss
3;5;4;4;5;4;5;5;5;3;4;4;2;4;2;4;3;3;3;4;2;3;4;2;3;2;3;0;4.4998;4.4427;0.6931;4.7005;1;5;1;1;1;1;5;4;4
4;2;4;2;4;4;3;3;3;3;4;4;3;4;4;4;3;3;4;3;4;3;4;4;4;4;3;0;3.9120;3.8501;0.0000;4.6052;1;3;1;1;3;1;4;2;3.5
4;2;4;3;3;4;4;5;2;5;4;4;4;5;4;5;0;0;4;2;5;5;5;4;3;3;2;1;6.7190;6.3969;3.2189;6.6846;1;2;2;4;2;2;4;2;2.5
4;2;5;2;4;3;2;2;3;3;3;5;3;5;5;5;2;2;4;2;4;4;1;2;3;2;1;0;3.9120;3.8067;0.0000;4.0254;1;3;4;1;4;2;3;3;2.25
4;2;4;2;1;1;1;2;2;2;3;1;4;4;2;4;0;0;4;2;4;2;2;4;1;1;3;0;4.2485;4.1744;0.6931;6.3969;1;3;2;2;4;2;2;1;2.5
5;3;5;3;4;4;3;3;3;3;3;3;3;3;5;5;2;2;4;4;4;3;3;3;3;3;3;0;1.6094;1.6094;0.0000;4.2485;0;1;1;1;1;1;5;5;4
5;3;5;3;5;5;5;5;4;4;3;4;3;4;4;4;3;3;3;2;3;2;3;3;4;4;1;0;0.6931;3.9120;1.0986;5.9915;1;3;2;2;4;4;5;3;2
5;3;4;5;4;2;4;2;4;2;4;2;4;4;1;4;1;1;4;2;4;2;4;4;3;3;4;1;6.3969;6.3099;1.0986;6.2146;1;4;1;1;1;2;4;3;3.75
4;4;4;3;3;3;3;2;3;3;4;2;3;3;3;5;2;1;3;4;4;4;5;4;4;4;2;0;4.3175;4.2767;0.0000;4.2485;1;2;1;1;2;2;2;2;3.5
4;5;3;4;5;4;5;4;5;4;2;3;3;3;2;3;4;3;2;4;3;3;3;3;4;3;3;1;7.0031;6.9847;2.3979;7.0031;1;4;1;1;1;2;5;4;3.75
4;3;5;3;2;2;3;3;3;3;5;3;5;3;4;2;1;2;4;2;4;3;5;5;2;2;2;1;5.5984;5.5797;1.0986;7.4955;1;3;1;1;1;2;4;1;3.75
5;5;5;5;4;2;2;2;4;4;4;5;4;5;3;4;1;1;2;3;3;4;5;4;5;5;1;0;3.8067;3.7136;0.6931;5.8861;0;1;1;1;1;1;1;2;4
3;4;5;4;4;4;3;3;4;4;4;2;2;2;1;2;3;3;3;2;3;2;3;3;4;3;2;0;3.6889;3.5835;0.0000;5.4381;1;3;1;1;1;2;5;4;3.75
4;4;4;4;4;2;4;3;3;3;2;2;4;4;2;4;3;1;4;4;4;2;4;4;4;4;3;0;6.2146;6.2146;2.9957;6.2146;1;4;1;2;1;1;4;2;3.75
5;3;5;3;3;3;4;3;4;4;4;4;4;4;4;4;2;2;4;3;4;4;4;4;4;4;2;1;5.8579;5.7991;2.3026;5.9402;1;3;2;2;2;1;3;3;3.25
5;4;5;4;4;4;4;3;4;4;3;2;3;2;3;4;3;3;3;2;4;2;4;3;4;4;2;0;4.4998;4.4188;0.0000;4.4998;1;4;1;1;1;2;4;2;3.75
4;3;4;3;2;2;3;2;4;4;3;4;2;2;4;4;3;3;5;2;4;4;2;2;2;2;1;0;5.2983;5.2470;1.3863;5.5215;0;1;1;1;1;1;5;2;4
5;5;3;5;5;4;5;2;5;2;2;2;2;4;2;2;3;3;2;2;2;2;4;4;4;4;3;0;4.6052;3.9120;1.0986;4.6052;1;4;2;2;2;2;4;2;3
