s2;d2;s3;d3;s4;d4;s5;d5;s6;d6;s7;d7;s8;d8;s9;d9;s10;d10;s11;d11;s12;d12;s13;d13;s14;d14;p23;p24;lkomp;p25b;p26;p27;p3;ocenaoss;p5;p6;p7;p8;s1;d1;zoss
4;3;4;1;1;1;1;1;3;3;4;4;4;5;4;5;1;1;5;2;5;2;3;3;4;2;1;0;5.2983;5.2983;2.0794;5.2983;0;1;1;1;1;1;2;2;4
4;4;4;4;4;4;3;3;3;3;3;4;3;4;4;4;1;1;4;4;4;5;4;4;4;4;3;0;4.3175;4.2767;0.6931;4.2485;1;3;2;4;1;2;2;2;2.75
5;2;1;5;5;4;4;4;4;4;2;4;4;4;2;4;3;3;4;4;3;3;4;2;4;4;2;1;3.6889;3.5835;0.6931;4.7875;1;5;1;4;4;2;5;1;2.25
1;2;2;1;1;2;1;1;1;1;1;1;3;1;2;2;4;3;5;5;3;3;5;5;1;5;2;0;4.3820;4.3175;0.0000;4.7449;1;5;4;4;4;2;1;2;1.5
1;5;1;4;5;5;5;5;4;4;2;4;4;3;2;4;3;1;4;2;4;2;2;4;4;4;2;0;3.4012;3.1781;1.3863;4.3820;1;5;4;1;2;2;5;4;2.75
5;3;5;3;5;5;3;3;3;3;3;5;3;5;5;5;2;2;5;3;5;4;4;4;5;5;2;0;3.4012;3.4012;0.0000;5.2983;0;1;1;1;1;1;4;4;4
5;3;3;4;5;5;5;5;5;5;1;1;1;4;5;5;3;3;3;5;3;4;3;3;5;5;4;0;3.8067;3.7377;0.6931;4.0073;1;5;1;4;1;2;2;2;3
3;3;5;3;1;1;3;3;4;4;2;3;2;3;5;5;2;2;3;3;4;4;3;3;3;3;2;0;3.5553;3.5264;0.6931;2.9957;1;3;2;2;2;2;5;5;3
5;4;5;3;5;3;5;3;5;3;4;4;5;4;5;5;4;4;4;5;3;4;5;5;1;1;3;1;4.2485;4.0943;1.0986;4.0943;1;3;1;1;1;2;5;5;3.75
4;4;5;4;2;2;2;2;3;3;2;4;2;4;5;5;2;2;4;3;4;4;4;4;2;2;3;1;1.3863;3.4012;1.0986;3.9120;1;4;1;3;3;1;4;2;3
